Profiled Data Type;Concentrations ( mM );;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Export Date;Thu Aug 03 15:46:49 WEST 2023;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Acetate;Alanine;Arginine;Aspartate;Benzoate;Choline;Creatine;Cysteine;Cytidine;Ethanol;Formate;Glutamate;Glutamine;Glutathione;Glycerol;Glycine;Guanosine;Hypoxanthine;Inosine;Isoleucine;Lactate;Leucine;Lysine;Methanol;Methionine;Nicotinurate;O-Phosphocholine;Phenylalanine;Proline;Pyroglutamate;Pyruvate;Serine;Succinate;Threonine;Tryptophan;Tyrosine;UDP-N-Acetylglucosamine;Uracil;Uridine;Valine
HMDB Accession Number;HMDB00042;HMDB00161;HMDB00517;HMDB00191;HMDB01870;HMDB00097;HMDB00064;HMDB00574;HMDB00089;HMDB00108;HMDB00142;HMDB00148;HMDB00641;HMDB00125;HMDB00131;HMDB00123;HMDB00133;HMDB00157;HMDB00195;HMDB00172;HMDB00190;HMDB00687;HMDB00182;HMDB01875;HMDB00696;HMDB03269;HMDB00284;HMDB00159;HMDB00162;HMDB00267;HMDB00243;HMDB00187;HMDB00254;HMDB00167;HMDB00929;HMDB00158;HMDB00290;HMDB00300;HMDB00296;HMDB00883
KEGG Compound ID;C00033;C00041;C00062;C00049;C00180;C00114;C00300;C00097;C00475;C00469;C00058;C00025;C00064;C00051;C00116;C00037;C00387;C00262;C00294;C00407;C00186;C00123;C00047;C00132;C00073;C05380;C00588;C00079;C00148;C01879;C00022;C00065;C00042;C00188;C00078;C00082;C00043;C00106;C00299;C00183
Weight;60.052;89.0932;174.201;133.1027;122.1213;104.1708;131.1332;121.1582;243.2166;46.0684;46.0254;147.1293;146.1445;307.3235;92.0938;75.0666;283.2407;136.1115;268.2261;131.1729;90.0779;131.1729;146.1876;32.0419;149.2113;180.1607;184.1507;165.1891;115.1305;129.114;88.0621;105.0926;118.088;119.1192;204.2252;181.1885;607.3537;112.0868;244.2014;117.1463
CAS Registry;64-19-7;56-41-7;74-79-3;56-84-8;65-85-0;62-49-7;57-00-1;52-90-4;65-46-3;64-17-5;64-18-6;56-86-0;56-85-9;70-18-8;56-81-5;56-40-6;118-00-3;68-94-0;58-63-9;73-32-5;79-33-4;61-90-5;56-87-1;67-56-1;63-68-3;583-08-4;107-73-3;63-91-2;147-85-3;98-79-3;127-17-3;56-45-1;110-15-6;72-19-5;73-22-3;60-18-4;528-04-1;66-22-8;58-96-8;72-18-4
ChEBI ID;CHEBI:15366;CHEBI:16977;CHEBI:16467;CHEBI:17053;CHEBI:30746;CHEBI:15354;CHEBI:16919;CHEBI:17561;CHEBI:17562;CHEBI:16236;CHEBI:30751;CHEBI:16015;CHEBI:18050;CHEBI:16856;CHEBI:17754;CHEBI:15428;CHEBI:16750;CHEBI:17368;CHEBI:17596;CHEBI:17191;CHEBI:422;CHEBI:15603;CHEBI:18019;CHEBI:17790;CHEBI:16643;;CHEBI:18132;CHEBI:17295;CHEBI:17203;CHEBI:18183;CHEBI:32816;CHEBI:17115;CHEBI:15741;CHEBI:16857;CHEBI:16828;CHEBI:17895;CHEBI:16264;CHEBI:17568;CHEBI:16704;CHEBI:16414
Compound ID;9;232;240;234;82;302;23;228;161;205;32;229;226;493;36;242;270;164;269;225;42;235;291;178;213;2781;321;227;230;119;133;216;60;219;241;243;4553;139;162;215
Formula;C2H4O2;C3H7NO2;C6H14N4O2;C4H7NO4;C7H6O2;C5H14NO;C4H9N3O2;C3H7NO2S;C9H13N3O5;C2H6O;CH2O2;C5H9NO4;C5H10N2O3;C10H17N3O6S;C3H8O3;C2H5NO2;C10H13N5O5;C5H4N4O;C10H12N4O5;C6H13NO2;C3H6O3;C6H13NO2;C6H14N2O2;CH4O;C5H11NO2S;C8H8N2O3;C5H15NO4P;C9H11NO2;C5H9NO2;C5H7NO3;C3H4O3;C3H7NO3;C4H6O4;C4H9NO3;C11H12N2O2;C9H11NO3;C17H27N3O17P2;C4H4N2O2;C9H12N2O6;C5H11NO2
InChI;InChIKey=QTBSBXVTEAMEQO-UHFFFAOYSA-N;InChIKey=QNAYBMKLOCPYGJ-REOHCLBHSA-N;InChIKey=ODKSFYDXXFIFQN-BYPYZUCNSA-N;InChIKey=CKLJMWTZIZZHCS-REOHCLBHSA-N;InChIKey=WPYMKLBDIGXBTP-UHFFFAOYSA-N;InChIKey=OEYIOHPDSNJKLS-UHFFFAOYSA-N;InChIKey=CVSVTCORWBXHQV-UHFFFAOYSA-N;InChIKey=XUJNEKJLAYXESH-REOHCLBHSA-N;InChIKey=UHDGCWIWMRVCDJ-XVFCMESISA-N;InChIKey=LFQSCWFLJHTTHZ-UHFFFAOYSA-N;InChIKey=BDAGIHXWWSANSR-UHFFFAOYSA-N;InChIKey=WHUUTDBJXJRKMK-VKHMYHEASA-N;InChIKey=ZDXPYRJPNDTMRX-VKHMYHEASA-N;InChIKey=RWSXRVCMGQZWBV-WDSKDSINSA-N;InChIKey=PEDCQBHIVMGVHV-UHFFFAOYSA-N;InChIKey=DHMQDGOQFOQNFH-UHFFFAOYSA-N;InChIKey=NYHBQMYGNKIUIF-UUOKFMHZSA-N;InChIKey=FDGQSTZJBFJUBT-UHFFFAOYSA-N;InChIKey=UGQMRVRMYYASKQ-KQYNXXCUSA-N;InChIKey=AGPKZVBTJJNPAG-WHFBIAKZSA-N;InChIKey=JVTAAEKCZFNVCJ-REOHCLBHSA-N;InChIKey=ROHFNLRQFUQHCH-YFKPBYRVSA-N;InChIKey=KDXKERNSBIXSRK-YFKPBYRVSA-N;InChIKey=OKKJLVBELUTLKV-UHFFFAOYSA-N;InChIKey=FFEARJCKVFRZRR-BYPYZUCNSA-N;InChIKey=ZBSGKPYXQINNGF-UHFFFAOYSA-N;InChIKey=YHHSONZFOIEMCP-UHFFFAOYSA-N;InChIKey=COLNVLDHVKWLRT-QMMMGPOBSA-N;InChIKey=ONIBWKKTOPOVIA-BYPYZUCNSA-N;InChIKey=ODHCTXKNWHHXJC-VKHMYHEASA-N;InChIKey=LCTONWCANYUPML-UHFFFAOYSA-N;InChIKey=MTCFGRXMJLQNBG-REOHCLBHSA-N;InChIKey=KDYFGRWQOYBRFD-UHFFFAOYSA-N;InChIKey=AYFVYJQAPQTCCC-GBXIJSLDSA-N;InChIKey=QIVBCDIJIAJPQS-VIFPVBQESA-N;InChIKey=OUYCCCASQSFEME-QMMMGPOBSA-N;InChIKey=LFTYTUAZOPRMMI-CFRASDGPSA-N;InChIKey=ISAKRJDGNUQOIC-UHFFFAOYSA-N;InChIKey=DRTQHJPVMGBUCF-XVFCMESISA-N;InChIKey=KZSNJWFQEVHDMF-BYPYZUCNSA-N
PubChem Compound;176;5950;6322;5960;243;305;586;5862;6175;702;284;33032;5961;124886;753;750;6802;790;6021;6306;107689;6106;5962;887;6137;68499;1014;6140;145742;7405;1060;5951;1110;6288;6305;6057;445675;1174;6029;6287
SMILES;CC(O)=O;C[C@H](N)C(O)=O;N[C@@H](CCCNC(N)=N)C(O)=O;N[C@@H](CC(O)=O)C(O)=O;OC(=O)C1=CC=CC=C1;C[N+](C)(C)CCO;CN(CC(O)=O)C(N)=N;N[C@@H](CS)C(O)=O;NC1=NC(=O)N(C=C1)[C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O;CCO;OC=O;N[C@@H](CCC(O)=O)C(O)=O;N[C@@H](CCC(N)=O)C(O)=O;NC(CCC(=O)NC(CS)C(=O)NCC(O)=O)C(O)=O;OCC(O)CO;NCC(O)=O;NC1=NC2=C(N=C[N]2[C@@H]3O[C@H](CO)[C@@H](O)[C@H]3O)C(=O)N1;O=C1NC=NC2=C1N=C[NH]2;OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)[N]2C=NC3=C2N=CNC3=O;CC[C@H](C)[C@H](N)C(O)=O;C[C@H](O)C(O)=O;CC(C)C[C@H](N)C(O)=O;NCCCC[C@H](N)C(O)=O;CO;CSCC[C@H](N)C(O)=O;OC(=O)CNC(=O)C1=CC=CN=C1;C[N+](C)(C)CCOP(O)([O-])=O;N[C@@H](CC1=CC=CC=C1)C(O)=O;OC(=O)[C@@H]1CCCN1;OC(=O)[C@@H]1CCC(=O)N1;CC(=O)C(O)=O;N[C@@H](CO)C(O)=O;OC(=O)CCC(O)=O;C[C@@H](O)[C@H](N)C(O)=O;N[C@@H](CC1=C[NH]C2=CC=CC=C12)C(O)=O;N[C@@H](CC1=CC=C(O)C=C1)C(O)=O;O=C1C=CN(C(=O)N1)[C@@H]3O[C@H](COP(=O)(O)OP(=O)(O)O[C@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2NC(C)=O)[C@@H](O)[C@H]3O;O=C1NC=CC(=O)N1;OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)N2C=CC(=O)NC2=O;CC(C)[C@H](N)C(O)=O
